airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Spicejet,2019-06-18,chennai,kolkata,17:45:00,20:05:00,140,0.0,no info,3597
Jet Airways,2019-05-12,banglore,delhi,06:00:00,08:45:00,165,0.0,no info,7229
Spicejet,2019-04-01,mumbai,hyderabad,05:45:00,07:15:00,90,0.0,no check-in baggage included,1965
Jet Airways,2019-05-18,delhi,cochin,18:15:00,04:25:00,610,1.0,in-flight meal not included,12373
Jet Airways,2019-05-27,delhi,cochin,08:00:00,19:00:00,660,1.0,in-flight meal not included,12239
Air India,2019-04-24,delhi,cochin,05:10:00,08:00:00,170,0.0,no info,5201
Indigo,2019-04-27,banglore,delhi,22:10:00,01:00:00,170,0.0,no info,3943
Indigo,2019-06-01,banglore,delhi,10:30:00,13:20:00,170,0.0,no info,3943
Jet Airways,2019-06-09,kolkata,banglore,08:25:00,19:50:00,685,1.0,no info,14571
Jet Airways,2019-03-01,banglore,new delhi,07:00:00,12:25:00,325,1.0,no info,26890
Air India,2019-03-03,banglore,new delhi,12:00:00,10:35:00,1355,3.0,no info,12358
Indigo,2019-05-09,mumbai,hyderabad,19:05:00,20:35:00,90,0.0,no info,4392
Jet Airways,2019-03-21,banglore,new delhi,09:45:00,14:25:00,280,1.0,in-flight meal not included,7280
Indigo,2019-06-12,delhi,cochin,17:10:00,01:30:00,500,1.0,no info,5883
Goair,2019-03-24,kolkata,banglore,06:35:00,14:25:00,470,1.0,no info,4773
Multiple Carriers,2019-06-01,delhi,cochin,17:50:00,01:30:00,460,2.0,no info,18485
Indigo,2019-06-24,delhi,cochin,17:05:00,22:15:00,310,1.0,no info,6147
Air Asia,2019-06-06,delhi,cochin,07:55:00,22:25:00,870,1.0,no info,8759
Jet Airways,2019-06-01,banglore,delhi,08:20:00,11:20:00,180,0.0,no info,8016
Jet Airways,2019-03-01,banglore,new delhi,08:00:00,07:40:00,1420,1.0,no info,22270
Indigo,2019-03-21,delhi,cochin,11:30:00,01:35:00,845,1.0,no info,7318
Jet Airways,2019-06-15,delhi,cochin,09:35:00,04:25:00,1130,2.0,in-flight meal not included,11507
Air India,2019-03-21,delhi,cochin,17:15:00,07:40:00,865,2.0,no info,8052
Indigo,2019-03-27,delhi,cochin,11:30:00,21:00:00,570,1.0,no info,6416
Indigo,2019-03-24,kolkata,banglore,08:15:00,13:00:00,285,1.0,no info,6303
Jet Airways,2019-06-06,delhi,cochin,19:15:00,19:00:00,1425,1.0,no info,14714
Indigo,2019-03-15,kolkata,banglore,22:10:00,00:55:00,165,0.0,no info,4148
Indigo,2019-04-06,banglore,delhi,06:05:00,08:50:00,165,0.0,no info,4423
Vistara,2019-03-12,mumbai,hyderabad,08:45:00,16:45:00,480,1.0,no info,12080
Indigo,2019-06-15,chennai,kolkata,22:05:00,00:25:00,140,0.0,no info,5277
Air India,2019-05-24,mumbai,hyderabad,06:20:00,07:40:00,80,0.0,no info,3100
Spicejet,2019-04-03,mumbai,hyderabad,13:15:00,14:45:00,90,0.0,no info,2017
Indigo,2019-03-03,delhi,cochin,09:10:00,21:00:00,710,1.0,no info,14871
Jet Airways,2019-06-12,banglore,delhi,07:10:00,10:10:00,180,0.0,in-flight meal not included,5769
Jet Airways,2019-03-24,banglore,new delhi,19:55:00,22:35:00,160,0.0,no info,7229
Goair,2019-06-24,banglore,delhi,07:45:00,10:40:00,175,0.0,no info,3898
Air India,2019-05-12,kolkata,banglore,16:45:00,16:15:00,1410,2.0,no info,13437
Vistara,2019-03-03,banglore,new delhi,09:50:00,12:35:00,165,0.0,no info,8028
Air India,2019-06-15,banglore,delhi,10:00:00,12:45:00,165,0.0,no info,6961
Goair,2019-06-27,kolkata,banglore,15:20:00,17:55:00,155,0.0,no info,3514
Spicejet,2019-03-18,chennai,kolkata,08:20:00,10:35:00,135,0.0,no info,3859
Indigo,2019-04-27,banglore,delhi,00:30:00,03:25:00,175,0.0,no info,4591
Air India,2019-03-03,delhi,cochin,05:55:00,07:40:00,1545,2.0,no info,15113
Indigo,2019-03-24,banglore,new delhi,18:25:00,21:20:00,175,0.0,no info,8033
Indigo,2019-05-01,kolkata,banglore,06:20:00,10:20:00,240,1.0,no info,4226
Indigo,2019-03-24,banglore,new delhi,18:25:00,21:20:00,175,0.0,no info,7303
Multiple Carriers,2019-06-24,delhi,cochin,07:30:00,19:15:00,705,1.0,no info,9001
Air Asia,2019-06-27,kolkata,banglore,22:50:00,01:20:00,150,0.0,no info,3807
Jet Airways,2019-06-06,delhi,cochin,17:30:00,19:00:00,1530,1.0,no info,14714
Air India,2019-06-12,kolkata,banglore,20:45:00,23:20:00,155,0.0,no info,4145
Jet Airways,2019-06-27,delhi,cochin,23:05:00,19:00:00,1195,2.0,in-flight meal not included,11150
Indigo,2019-06-27,banglore,delhi,13:00:00,15:50:00,170,0.0,no info,3943
Jet Airways,2019-05-18,kolkata,banglore,20:25:00,18:00:00,1295,1.0,no info,14151
Air India,2019-05-09,delhi,cochin,22:00:00,19:15:00,1275,2.0,no info,10441
Multiple Carriers,2019-05-15,delhi,cochin,18:00:00,01:30:00,450,1.0,no info,8073
Multiple Carriers,2019-05-18,delhi,cochin,08:30:00,19:15:00,645,1.0,no info,7887
Indigo,2019-05-21,delhi,cochin,16:00:00,21:00:00,300,1.0,no info,7255
Indigo,2019-05-15,delhi,cochin,09:15:00,01:30:00,975,1.0,no info,7503
Air India,2019-05-06,delhi,cochin,22:00:00,19:15:00,1275,2.0,no info,11701
Jet Airways,2019-04-01,kolkata,banglore,16:30:00,04:40:00,730,1.0,in-flight meal not included,7064
Jet Airways,2019-05-18,kolkata,banglore,21:10:00,09:20:00,730,1.0,no info,14388
Jet Airways,2019-04-18,banglore,delhi,07:10:00,10:10:00,180,0.0,no info,7229
Jet Airways,2019-05-12,kolkata,banglore,06:30:00,12:00:00,330,1.0,no info,13941
Jet Airways,2019-06-09,kolkata,banglore,21:10:00,23:35:00,1585,1.0,in-flight meal not included,10844
Air India,2019-06-06,delhi,cochin,12:55:00,19:15:00,1820,2.0,no info,12646
Jet Airways,2019-03-06,banglore,new delhi,22:50:00,20:20:00,1290,1.0,no info,17471
Spicejet,2019-06-06,kolkata,banglore,22:20:00,00:40:00,140,0.0,no check-in baggage included,3841
Indigo,2019-06-12,delhi,cochin,07:35:00,12:10:00,275,1.0,no info,5054
Jet Airways,2019-05-27,delhi,cochin,05:30:00,19:00:00,810,2.0,no info,15129
Jet Airways,2019-04-09,delhi,cochin,22:50:00,04:25:00,335,1.0,no info,12242
Jet Airways,2019-06-27,delhi,cochin,19:15:00,19:00:00,1425,1.0,in-flight meal not included,10262
Jet Airways,2019-06-09,kolkata,banglore,17:00:00,22:05:00,1745,1.0,no info,12692
Goair,2019-03-15,banglore,new delhi,11:40:00,14:35:00,175,0.0,no info,6113
Air India,2019-03-12,mumbai,hyderabad,19:40:00,09:10:00,810,2.0,no info,11647
Jet Airways,2019-05-18,delhi,cochin,20:00:00,04:25:00,505,2.0,in-flight meal not included,15318
Indigo,2019-06-15,banglore,delhi,13:00:00,15:50:00,170,0.0,no info,3943
Indigo,2019-03-03,banglore,new delhi,16:55:00,19:45:00,170,0.0,no info,8855
Jet Airways,2019-03-21,banglore,new delhi,08:00:00,07:40:00,1420,1.0,in-flight meal not included,7832
Multiple Carriers,2019-06-27,delhi,cochin,08:45:00,19:00:00,615,1.0,no info,11789
Indigo,2019-04-21,delhi,cochin,02:00:00,07:45:00,345,1.0,no info,6258
Jet Airways,2019-05-15,kolkata,banglore,20:25:00,23:35:00,1630,1.0,no info,14151
Multiple Carriers,2019-05-01,delhi,cochin,07:30:00,19:00:00,690,1.0,no info,9794
Vistara,2019-03-01,banglore,new delhi,06:40:00,21:55:00,915,1.0,no info,18387
Jet Airways,2019-05-06,kolkata,banglore,20:25:00,10:55:00,870,1.0,no info,13067
Jet Airways,2019-05-24,kolkata,banglore,20:25:00,14:25:00,1080,1.0,no info,12121
Air India,2019-03-06,mumbai,hyderabad,09:40:00,23:45:00,845,2.0,no info,22619
Air India,2019-05-27,banglore,delhi,17:00:00,19:45:00,165,0.0,no info,6961
Jet Airways,2019-06-06,delhi,cochin,21:25:00,12:35:00,910,2.0,in-flight meal not included,11270
Indigo,2019-03-09,kolkata,banglore,10:10:00,12:55:00,165,0.0,no info,4462
Spicejet,2019-03-27,kolkata,banglore,17:15:00,19:45:00,150,0.0,no info,3847
Multiple Carriers,2019-05-21,delhi,cochin,10:20:00,19:15:00,535,1.0,no info,8266
Jet Airways,2019-06-06,delhi,cochin,13:00:00,04:25:00,925,1.0,in-flight meal not included,10262
Multiple Carriers,2019-05-18,delhi,cochin,10:00:00,01:30:00,930,1.0,no info,8073
Indigo,2019-06-18,chennai,kolkata,22:05:00,00:25:00,140,0.0,no info,5277
Jet Airways,2019-05-12,mumbai,hyderabad,07:05:00,08:30:00,85,0.0,in-flight meal not included,4050
Spicejet,2019-05-15,kolkata,banglore,06:55:00,09:30:00,155,0.0,no check-in baggage included,3841
Jet Airways,2019-03-01,banglore,new delhi,16:55:00,07:40:00,885,1.0,1 long layover,26890
Jet Airways,2019-06-24,delhi,cochin,02:15:00,04:25:00,1570,1.0,in-flight meal not included,10262
Jet Airways,2019-04-09,delhi,cochin,07:05:00,19:00:00,715,1.0,no info,17531
Jet Airways,2019-03-27,delhi,cochin,16:00:00,19:45:00,1665,1.0,in-flight meal not included,5963
Jet Airways,2019-06-27,mumbai,hyderabad,02:55:00,04:20:00,85,0.0,in-flight meal not included,3210
Indigo,2019-06-18,banglore,delhi,04:00:00,06:50:00,170,0.0,no info,3943
Jet Airways,2019-03-09,delhi,cochin,11:00:00,14:15:00,195,0.0,in-flight meal not included,7202
Jet Airways,2019-03-24,kolkata,banglore,16:55:00,12:00:00,1145,1.0,no info,14231
Jet Airways,2019-05-24,kolkata,banglore,14:05:00,09:20:00,1155,1.0,no info,14178
Jet Airways,2019-03-15,banglore,new delhi,08:00:00,18:25:00,625,1.0,in-flight meal not included,9134
Jet Airways,2019-03-18,banglore,new delhi,11:40:00,18:25:00,405,1.0,no info,12284
Air India,2019-03-09,delhi,cochin,06:05:00,09:25:00,1640,1.0,no info,10945
Indigo,2019-03-21,delhi,cochin,06:40:00,12:00:00,320,1.0,no info,5761
Air India,2019-03-06,mumbai,hyderabad,21:10:00,16:55:00,255,2.0,no info,17327
Multiple Carriers,2019-03-21,delhi,cochin,10:20:00,21:00:00,640,1.0,no info,7215
Jet Airways,2019-06-09,kolkata,banglore,21:10:00,18:15:00,1265,1.0,in-flight meal not included,10844
Spicejet,2019-06-12,banglore,delhi,05:55:00,08:35:00,160,0.0,no check-in baggage included,4319
Spicejet,2019-04-15,kolkata,banglore,17:10:00,19:40:00,150,0.0,no info,4174
Jet Airways,2019-03-01,banglore,new delhi,16:55:00,10:25:00,1050,1.0,1 long layover,25735
Air Asia,2019-04-12,kolkata,banglore,22:50:00,01:20:00,150,0.0,no info,4409
Vistara,2019-05-21,kolkata,banglore,20:20:00,18:50:00,1350,1.0,no info,9345
Jet Airways,2019-05-12,kolkata,banglore,09:35:00,10:55:00,1520,1.0,no info,14151
Indigo,2019-05-18,kolkata,banglore,18:05:00,23:30:00,325,1.0,no info,6704
Jet Airways,2019-06-12,kolkata,banglore,08:25:00,18:15:00,590,1.0,no info,13626
Multiple Carriers,2019-05-21,delhi,cochin,19:00:00,01:30:00,390,1.0,no info,7888
Indigo,2019-03-03,banglore,new delhi,00:40:00,03:25:00,165,0.0,no info,6144
Spicejet,2019-03-24,chennai,kolkata,09:30:00,12:05:00,155,0.0,no info,3859
Multiple Carriers,2019-03-21,delhi,cochin,10:00:00,01:35:00,935,1.0,in-flight meal not included,8565
Multiple Carriers,2019-05-18,delhi,cochin,12:50:00,01:30:00,760,1.0,no info,7670
Jet Airways,2019-05-18,delhi,cochin,23:05:00,19:00:00,1195,2.0,no info,15129
Jet Airways,2019-06-09,kolkata,banglore,18:55:00,12:00:00,1025,1.0,in-flight meal not included,10844
Jet Airways,2019-04-09,delhi,cochin,23:05:00,19:00:00,1195,2.0,no info,9483
Multiple Carriers,2019-05-18,delhi,cochin,08:00:00,21:00:00,780,1.0,no info,13727
Indigo,2019-06-06,delhi,cochin,09:15:00,01:30:00,975,1.0,no info,6628
Spicejet,2019-03-09,mumbai,hyderabad,08:50:00,10:15:00,85,0.0,no info,5755
Air India,2019-05-27,chennai,kolkata,11:40:00,13:55:00,135,0.0,no info,4667
Indigo,2019-05-12,delhi,cochin,05:35:00,08:50:00,195,0.0,no info,6015
Indigo,2019-06-27,chennai,kolkata,22:05:00,00:25:00,140,0.0,no info,5277
Indigo,2019-05-18,banglore,delhi,22:10:00,01:00:00,170,0.0,no info,3943
Goair,2019-04-24,banglore,delhi,20:55:00,23:40:00,165,0.0,no info,3419
Spicejet,2019-04-27,kolkata,banglore,09:00:00,11:25:00,145,0.0,no info,4174
Jet Airways,2019-06-09,kolkata,banglore,18:55:00,04:40:00,585,1.0,in-flight meal not included,9663
Indigo,2019-03-15,chennai,kolkata,19:35:00,21:55:00,140,0.0,no info,6297
Indigo,2019-06-27,mumbai,hyderabad,02:35:00,04:05:00,90,0.0,no info,2754
Air India,2019-03-12,banglore,new delhi,00:30:00,08:45:00,495,1.0,no info,13492
Air India,2019-03-06,delhi,cochin,12:00:00,19:15:00,435,2.0,no info,11858
Multiple Carriers,2019-03-03,delhi,cochin,08:00:00,15:30:00,450,1.0,no info,17057
Air India,2019-04-18,delhi,cochin,14:10:00,17:10:00,180,0.0,no info,6094
Vistara,2019-05-12,delhi,cochin,14:40:00,17:50:00,190,0.0,no info,6216
Spicejet,2019-03-15,banglore,new delhi,05:45:00,08:35:00,170,0.0,no check-in baggage included,5469
Indigo,2019-03-21,delhi,cochin,10:45:00,15:30:00,285,1.0,no info,6218
Indigo,2019-05-15,delhi,cochin,08:30:00,21:00:00,750,1.0,no info,7503
Jet Airways,2019-06-01,banglore,delhi,06:00:00,08:45:00,165,0.0,no info,8016
Air India,2019-06-03,delhi,cochin,09:45:00,09:25:00,1420,2.0,no info,10975
Multiple Carriers,2019-03-27,delhi,cochin,07:10:00,22:20:00,910,1.0,no info,6145
Spicejet,2019-05-21,banglore,delhi,21:10:00,00:05:00,175,0.0,no info,3625
Air India,2019-06-12,delhi,cochin,09:45:00,09:25:00,1420,1.0,no info,7480
Jet Airways,2019-05-01,kolkata,banglore,21:10:00,08:15:00,665,1.0,in-flight meal not included,10844
Air India,2019-03-21,delhi,cochin,14:10:00,17:10:00,180,0.0,no info,5674
Jet Airways,2019-03-03,banglore,new delhi,11:40:00,00:45:00,785,1.0,in-flight meal not included,13502
Jet Airways,2019-05-12,mumbai,hyderabad,02:55:00,04:20:00,85,0.0,in-flight meal not included,4050
Indigo,2019-03-03,chennai,kolkata,07:55:00,10:15:00,140,0.0,no info,7295
Jet Airways,2019-05-06,kolkata,banglore,06:30:00,08:15:00,1545,1.0,in-flight meal not included,8586
Jet Airways,2019-03-01,banglore,new delhi,08:00:00,18:25:00,625,1.0,no info,26890
Jet Airways,2019-05-15,kolkata,banglore,18:55:00,12:00:00,1025,1.0,in-flight meal not included,10844
Jet Airways,2019-05-01,banglore,delhi,18:55:00,22:00:00,185,0.0,in-flight meal not included,4030
Jet Airways,2019-06-09,delhi,cochin,11:00:00,14:15:00,195,0.0,no info,9564
Air India,2019-03-06,delhi,cochin,13:30:00,08:15:00,1125,1.0,no info,11563
Jet Airways,2019-05-09,delhi,cochin,09:40:00,04:25:00,1125,2.0,no info,15129
Jet Airways,2019-05-12,kolkata,banglore,17:00:00,09:45:00,1005,1.0,no info,14151
Air Asia,2019-05-15,banglore,delhi,04:55:00,07:45:00,170,0.0,no info,4282
Indigo,2019-05-03,banglore,delhi,06:05:00,08:50:00,165,0.0,no info,3943
Indigo,2019-05-15,kolkata,banglore,21:00:00,02:15:00,315,1.0,no info,7228
Jet Airways,2019-03-12,banglore,new delhi,09:45:00,16:00:00,375,1.0,no info,12295
Air Asia,2019-03-24,kolkata,banglore,19:55:00,23:30:00,215,1.0,no info,5554
Jet Airways,2019-05-06,kolkata,banglore,20:25:00,18:00:00,1295,1.0,no info,11467
Indigo,2019-05-21,mumbai,hyderabad,09:10:00,10:40:00,90,0.0,no info,4049
Air India,2019-05-15,kolkata,banglore,16:45:00,21:05:00,1700,1.0,no info,7452
Jet Airways,2019-06-27,delhi,cochin,09:00:00,19:00:00,600,1.0,no info,14714
Air India,2019-05-03,banglore,delhi,10:00:00,12:45:00,165,0.0,no info,6121
Jet Airways,2019-03-18,banglore,new delhi,16:55:00,09:00:00,965,1.0,in-flight meal not included,11087
Indigo,2019-05-27,delhi,cochin,15:00:00,01:30:00,630,1.0,no info,6628
Air India,2019-03-09,delhi,cochin,04:00:00,07:40:00,1660,1.0,no info,10315
Jet Airways,2019-06-27,delhi,cochin,09:40:00,19:00:00,560,2.0,in-flight meal not included,10368
Jet Airways,2019-06-15,delhi,cochin,12:15:00,04:25:00,970,2.0,no info,14300
Multiple Carriers,2019-03-03,delhi,cochin,07:05:00,21:20:00,855,2.0,no info,8291
Jet Airways,2019-06-06,delhi,cochin,20:55:00,04:25:00,450,1.0,no info,14714
Indigo,2019-04-21,banglore,delhi,01:30:00,04:15:00,165,0.0,no info,4591
Vistara,2019-03-12,mumbai,hyderabad,19:45:00,19:55:00,1450,1.0,no info,12080
Indigo,2019-05-06,chennai,kolkata,13:15:00,15:35:00,140,0.0,no info,3597
Jet Airways,2019-03-21,delhi,cochin,19:10:00,04:25:00,1995,2.0,in-flight meal not included,8834
Air Asia,2019-06-24,delhi,cochin,20:45:00,06:35:00,590,1.0,no info,6152
Jet Airways,2019-06-06,delhi,cochin,07:05:00,04:25:00,1280,1.0,in-flight meal not included,10262
Air India,2019-03-09,delhi,cochin,20:00:00,19:15:00,1395,2.0,no info,16111
Jet Airways,2019-06-09,delhi,cochin,02:15:00,12:35:00,620,1.0,no info,18371
Indigo,2019-05-15,chennai,kolkata,05:15:00,07:40:00,145,0.0,no info,3540
Jet Airways,2019-03-21,delhi,cochin,05:30:00,18:50:00,800,2.0,no info,11702
Jet Airways,2019-05-01,mumbai,hyderabad,07:05:00,08:30:00,85,0.0,in-flight meal not included,4995
Jet Airways,2019-05-21,delhi,cochin,05:30:00,12:35:00,425,2.0,no info,16274
Jet Airways,2019-05-18,kolkata,banglore,20:00:00,19:50:00,1430,1.0,in-flight meal not included,10844
Jet Airways,2019-05-27,delhi,cochin,20:55:00,04:25:00,450,1.0,in-flight meal not included,12898
Indigo,2019-04-21,banglore,delhi,10:10:00,13:00:00,170,0.0,no info,4591
Jet Airways,2019-05-09,kolkata,banglore,16:30:00,04:40:00,730,1.0,no info,14781
Air India,2019-05-06,kolkata,banglore,16:50:00,15:05:00,1335,2.0,no info,12434
Indigo,2019-04-15,banglore,delhi,04:00:00,06:50:00,170,0.0,no info,4423
Jet Airways,2019-03-06,banglore,new delhi,11:40:00,18:25:00,405,1.0,no info,19225
Air India,2019-06-09,kolkata,banglore,17:30:00,20:25:00,1615,1.0,no info,10413
Indigo,2019-03-27,delhi,cochin,11:55:00,21:20:00,565,2.0,no info,6494
Jet Airways,2019-05-15,kolkata,banglore,14:05:00,23:35:00,570,1.0,in-flight meal not included,8586
Indigo,2019-06-27,mumbai,hyderabad,06:25:00,07:55:00,90,0.0,no info,4049
Jet Airways,2019-04-01,kolkata,banglore,09:35:00,18:00:00,505,1.0,in-flight meal not included,9314
Air India,2019-05-21,kolkata,banglore,09:25:00,05:35:00,1210,2.0,no info,11432
Indigo,2019-06-27,delhi,cochin,02:00:00,07:25:00,325,1.0,no info,5636
Multiple Carriers,2019-03-21,delhi,cochin,10:00:00,01:35:00,935,1.0,no info,8098
Spicejet,2019-03-24,banglore,new delhi,09:35:00,12:30:00,175,0.0,no check-in baggage included,4273
Jet Airways,2019-03-21,mumbai,hyderabad,19:35:00,21:05:00,90,0.0,no info,5678
Indigo,2019-05-27,banglore,delhi,10:10:00,13:00:00,170,0.0,no info,3943
Indigo,2019-03-27,delhi,cochin,17:30:00,01:35:00,485,1.0,no info,6628
Jet Airways,2019-05-01,kolkata,banglore,18:55:00,10:05:00,910,1.0,no info,13941
Indigo,2019-05-18,banglore,delhi,16:55:00,19:55:00,180,0.0,no info,4823
Spicejet,2019-05-18,kolkata,banglore,15:05:00,20:20:00,315,1.0,no info,4963
Spicejet,2019-06-15,kolkata,banglore,06:55:00,09:30:00,155,0.0,no check-in baggage included,3841
Air India,2019-05-15,kolkata,banglore,07:00:00,05:25:00,1345,2.0,no info,14424
Spicejet,2019-06-09,chennai,kolkata,08:20:00,10:35:00,135,0.0,no check-in baggage included,3543
Jet Airways,2019-03-06,banglore,new delhi,07:00:00,12:25:00,325,1.0,no info,22270
Indigo,2019-05-24,banglore,delhi,21:15:00,00:15:00,180,0.0,no info,3943
Air India,2019-03-09,banglore,new delhi,10:30:00,11:20:00,1490,1.0,no info,10321
Jet Airways,2019-06-12,kolkata,banglore,20:00:00,09:20:00,800,1.0,in-flight meal not included,8529
Spicejet,2019-03-06,delhi,cochin,06:10:00,11:20:00,310,1.0,no info,9748
Air India,2019-03-12,mumbai,hyderabad,16:50:00,12:25:00,1175,3.0,no info,14260
Indigo,2019-06-18,mumbai,hyderabad,19:05:00,20:35:00,90,0.0,no info,2754
Multiple Carriers,2019-06-06,delhi,cochin,09:15:00,19:00:00,585,1.0,no info,11622
Jet Airways,2019-05-03,banglore,delhi,11:10:00,14:05:00,175,0.0,no info,7229
Air India,2019-05-18,kolkata,banglore,08:20:00,18:30:00,610,2.0,no info,10907
Jet Airways,2019-06-06,kolkata,banglore,21:10:00,08:15:00,665,1.0,in-flight meal not included,10844
Jet Airways,2019-05-01,delhi,cochin,23:05:00,04:25:00,1760,2.0,no info,16704
Jet Airways,2019-05-24,kolkata,banglore,20:25:00,18:00:00,1295,1.0,no info,14151
Jet Airways,2019-05-18,delhi,cochin,13:25:00,12:35:00,1390,2.0,no info,15129
Indigo,2019-06-06,chennai,kolkata,07:55:00,10:15:00,140,0.0,no info,3850
Jet Airways,2019-06-12,delhi,cochin,11:30:00,19:00:00,450,1.0,no info,14714
Indigo,2019-06-03,delhi,cochin,16:00:00,01:30:00,570,1.0,no info,6628
Air India,2019-06-12,delhi,cochin,10:55:00,07:40:00,1245,2.0,no info,11753
Vistara,2019-05-21,kolkata,banglore,07:10:00,10:45:00,1655,1.0,no info,9187
Air India,2019-03-24,banglore,new delhi,21:10:00,23:55:00,165,0.0,no info,4441
Jet Airways,2019-05-09,delhi,cochin,19:15:00,04:25:00,550,1.0,in-flight meal not included,12373
Spicejet,2019-05-06,chennai,kolkata,08:20:00,10:35:00,135,0.0,no check-in baggage included,3859
Air India,2019-05-06,kolkata,banglore,12:00:00,11:10:00,1390,2.0,no info,10676
Air India,2019-04-12,banglore,delhi,06:10:00,08:55:00,165,0.0,no info,5911
Indigo,2019-03-06,delhi,cochin,11:30:00,21:00:00,570,1.0,no info,14871
Jet Airways,2019-05-27,delhi,cochin,09:40:00,04:25:00,1125,2.0,in-flight meal not included,13029
Indigo,2019-04-18,kolkata,banglore,20:20:00,22:55:00,155,0.0,no info,4174
Air India,2019-05-15,kolkata,banglore,10:00:00,13:45:00,1665,2.0,no info,16057
Jet Airways,2019-03-24,kolkata,banglore,16:55:00,18:10:00,1515,1.0,no info,14231
Air India,2019-05-18,kolkata,banglore,09:50:00,23:15:00,805,2.0,no info,15957
Goair,2019-03-09,banglore,new delhi,15:50:00,20:15:00,265,1.0,no info,7657
Air India,2019-06-27,delhi,cochin,12:00:00,07:40:00,1180,2.0,no info,9653
Multiple Carriers,2019-03-21,delhi,cochin,15:00:00,01:35:00,635,1.0,no info,13542
Air India,2019-05-18,kolkata,banglore,05:50:00,08:55:00,1625,2.0,no info,12723
Goair,2019-06-15,delhi,cochin,10:35:00,19:35:00,540,1.0,no info,4959
